pol_id,prod_id,issue_date,issue_age,sex,pol_term,sum_assured,premium,premium_mode
100053,prod02,15/7/2020,33,Female,15,350000,370,M
100054,prod02,23/4/2012,27,Male,20,100000,1300,Q
100055,prod02,15/7/2020,33,Female,15,350000,370,M
100056,prod02,23/4/2012,27,Male,20,100000,1300,Q
100057,prod02,15/7/2020,33,Female,15,350000,370,M
100058,prod02,23/4/2012,27,Male,20,100000,1300,Q
100059,prod02,15/7/2020,33,Female,15,350000,370,M
100060,prod02,23/4/2012,27,Male,20,100000,1300,Q
100061,prod02,15/7/2020,33,Female,15,350000,370,M
100062,prod02,23/4/2012,27,Male,20,100000,1300,Q
100063,prod02,15/7/2020,33,Female,15,350000,370,M
100064,prod02,23/4/2012,27,Male,20,100000,1300,Q
100065,prod02,15/7/2020,33,Female,15,350000,370,M
100066,prod02,23/4/2012,27,Male,20,100000,1300,Q
100067,prod02,15/7/2020,33,Female,15,350000,370,M
100068,prod02,23/4/2012,27,Male,20,100000,1300,Q
100069,prod02,15/7/2020,33,Female,15,350000,370,M
100070,prod02,23/4/2012,27,Male,20,100000,1300,Q
100071,prod02,15/7/2020,33,Female,15,350000,370,M
100072,prod02,23/4/2012,27,Male,20,100000,1300,Q
100073,prod02,15/7/2020,33,Female,15,350000,370,M
100074,prod02,23/4/2012,27,Male,20,100000,1300,Q
100075,prod02,15/7/2020,33,Female,15,350000,370,M
100076,prod02,23/4/2012,27,Male,20,100000,1300,Q
100077,prod02,15/7/2020,33,Female,15,350000,370,M
100078,prod02,23/4/2012,27,Male,20,100000,1300,Q
100079,prod02,15/7/2020,33,Female,15,350000,370,M
100080,prod02,23/4/2012,27,Male,20,100000,1300,Q
100081,prod02,15/7/2020,33,Female,15,350000,370,M
100082,prod02,23/4/2012,27,Male,20,100000,1300,Q
100083,prod02,15/7/2020,33,Female,15,350000,370,M
100084,prod02,23/4/2012,27,Male,20,100000,1300,Q
100085,prod02,15/7/2020,33,Female,15,350000,370,M
100086,prod02,23/4/2012,27,Male,20,100000,1300,Q
100087,prod02,15/7/2020,33,Female,15,350000,370,M
100088,prod02,23/4/2012,27,Male,20,100000,1300,Q
100089,prod02,15/7/2020,33,Female,15,350000,370,M
100090,prod02,23/4/2012,27,Male,20,100000,1300,Q
100091,prod02,15/7/2020,33,Female,15,350000,370,M
100092,prod02,23/4/2012,27,Male,20,100000,1300,Q
100093,prod02,15/7/2020,33,Female,15,350000,370,M
100094,prod02,23/4/2012,27,Male,20,100000,1300,Q
100095,prod02,15/7/2020,33,Female,15,350000,370,M
100096,prod02,23/4/2012,27,Male,20,100000,1300,Q
100097,prod02,15/7/2020,33,Female,15,350000,370,M
100098,prod02,23/4/2012,27,Male,20,100000,1300,Q
100099,prod02,15/7/2020,33,Female,15,350000,370,M
100100,prod02,23/4/2012,27,Male,20,100000,1300,Q
